genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20100900_E1D.29,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.14820033587836595,12.486414723945035
73.20100900_E1D.45,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.07850030886370163,6.540790981263267
73.20100900_E1D.85,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.21162397832541524,17.882013620588598
73.20100900_E1S.8,Bacteria,Nitrospirae,fen,surface,Aerobic heterotroph,Glucose,0.1559418238491494,13.012303375235014
73.20100900_E2D.50,Bacteria,Ignavibacteriae,fen,deep,Aerobic heterotroph,Glucose,0.08119662517285017,6.834257217734312
73.20110600_E3D.7,Bacteria,Actinobacteria,fen,deep,Aerobic heterotroph,Glucose,0.14552607083198463,12.146033817778587
73.20110600_P1D.32,Bacteria,Actinobacteria,palsa,deep,Aerobic heterotroph,Glucose,0.1719040247393347,14.425973036067047
73.20110600_P1M.11,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.19617169793075484,16.515615283249954
73.20110600_P1M.19,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.09255906711518144,7.693990395438556
73.20110600_P1M.2,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.1452812559597947,10.824009390181871
73.20110600_P1M.4,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.10879808014505646,9.04913464367446
73.20110600_P1M.45,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.09239373438734119,7.878708107776798
73.20110600_P1M.47,Bacteria,Acidobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.08811318657518225,7.387597495099532
73.20110600_P1M.5,Bacteria,Actinobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.15901818034105916,13.275733656826835
73.20110600_P1M.6,Bacteria,Proteobacteria,palsa,mid,Aerobic heterotroph,Glucose,0.16353576599130326,13.695691723278836
73.20110600_P1M.7,Bacteria,WPS2,palsa,mid,Aerobic heterotroph,Glucose,0.13664941337371297,11.475669575010398
73.20110600_P3S.21,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.07566714484018389,6.442736339292224
73.20110600_P3S.23,Bacteria,Acidobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.11229550120014592,9.477349501352958
73.20110600_P3S.3,Bacteria,Actinobacteria,palsa,surface,Aerobic heterotroph,Glucose,0.11132827264175335,8.753751293088397
73.20110600_S1D.24,Bacteria,Acidobacteria,bog,deep,Aerobic heterotroph,Glucose,0.07670619119374102,6.373775929059709
73.20110600_S1M.43,Bacteria,Acidobacteria,bog,mid,Aerobic heterotroph,Glucose,0.12000522660901697,9.509289788420851
