genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20110700_P2D.36,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reducers,Nitrite,0.016120741287632506,0.06836700094288083
73.20110800_E3D.52,Bacteria,Verrucomicrobia,fen,deep,Nitrite reducers,Nitrite,0.03257067351930734,0.05959783100893057
73.20110800_P1D.22,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reducers,Nitrite,0.020737297758955952,0.08614397754348324
73.20110800_P1D.67,Bacteria,Chloroflexi,palsa,deep,Nitrite reducers,Nitrite,0.015812430001331347,0.06689676081568346
73.20110800_P1M.33,Bacteria,Chloroflexi,palsa,mid,Nitrite reducers,Nitrite,0.02000638937324075,0.0832426630431076
73.20111000_P1D.32,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reducers,Nitrite,0.027229022358749577,0.11188562622830857
73.20111000_P2D.1,Bacteria,Acidobacteria,palsa,deep,Nitrite reducers,Nitrite,0.014367963112230292,0.062214438099707045
73.20111000_P3D.19,Bacteria,Acidobacteria,palsa,deep,Nitrite reducers,Nitrite,0.05158797811479518,0.10256647092504993
73.20111000_P3D.38,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reducers,Nitrite,0.010616259699210397,0.04716870251609954
73.20111000_P3D.5,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reducers,Nitrite,0.011832630883139678,0.05233347369489856
73.20111000_P3M.48,Bacteria,Proteobacteria,palsa,mid,Nitrite reducers,Nitrite,0.02191613064516672,0.09043083793831733
73.20111000_P3M.58,Bacteria,Nitrospirae,palsa,mid,Nitrite reducers,Nitrite,0.013832534032009321,0.060039067308603124
73.20111000_P3M.98,Bacteria,Proteobacteria,palsa,mid,Nitrite reducers,Nitrite,0.016032083141459437,0.06872615570617502
73.20120500_P26.11,Bacteria,Acidobacteria,palsa,series,Nitrite reducers,Nitrite,0.02644332476323965,0.0686761277818236
73.20120500_P28.26,Bacteria,Actinobacteria,palsa,series,Nitrite reducers,Nitrite,0.017594461349622448,0.07435565999615637
73.20120500_P28.43,Bacteria,Proteobacteria,palsa,series,Nitrite reducers,Nitrite,0.017037874991164135,0.07204709180566629
73.20120500_P28.8,Bacteria,Proteobacteria,palsa,series,Nitrite reducers,Nitrite,0.04369905995340358,0.10996571035574164
73.20120500_P37.7,Bacteria,Gemmatimonadetes,palsa,series,Nitrite reducers,Nitrite,0.02649223462841378,0.10853265991141961
73.20120500_P39.29,Bacteria,Actinobacteria,palsa,series,Nitrite reducers,Nitrite,0.02054703464589849,0.08643218510984386
73.20120700_E3M.187,Bacteria,Proteobacteria,fen,mid,Nitrite reducers,Nitrite,0.011701244931639827,0.05231390926039201
73.20120700_P2D.11,Bacteria,Acidobacteria,palsa,deep,Nitrite reducers,Nitrite,0.012339994123456075,0.054806342865424684
73.20120700_P2D.7,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reducers,Nitrite,0.014176930671821393,0.06133062676188262
73.20120700_P3D.107,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reducers,Nitrite,0.008396495070610322,0.03930426456190926
73.20120700_P3D.123,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reducers,Nitrite,0.025978391760048784,0.05137555297781346
73.20120700_P3D.140,Bacteria,Nitrospirae,palsa,deep,Nitrite reducers,Nitrite,0.013305767719795638,0.058079692977095095
73.20120700_P3D.239,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.013006707048217526,0.05711467051075997
73.20120700_P3D.240,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.017036311553126737,0.07169203886431808
73.20120700_P3D.248,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.03254620227563925,0.08353983744012389
73.20120700_P3D.283,Bacteria,Bacteroidetes,palsa,deep,Nitrite reducers,Nitrite,0.011128819412463927,0.04973171701734828
73.20120700_P3D.296,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.012160549223725687,0.05388034905505893
73.20120700_P3D.298,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reducers,Nitrite,0.01623152305568228,0.06979671041315677
73.20120700_P3D.316,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.022558634017343728,0.09322474773067875
73.20120700_P3D.35,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reducers,Nitrite,0.026889466153924922,0.11049110314334587
73.20120700_P3D.7,Bacteria,Proteobacteria,palsa,deep,Nitrite reducers,Nitrite,0.019894947641556762,0.08259095621172968
73.20120700_P3D.75,Bacteria,Actinobacteria,palsa,deep,Nitrite reducers,Nitrite,0.05347972073947453,0.13503966476434923
73.20120700_S1D.105,Bacteria,Proteobacteria,bog,deep,Nitrite reducers,Nitrite,0.027505947377590496,0.07084566299798353
73.20120700_S1D.96,Bacteria,Proteobacteria,bog,deep,Nitrite reducers,Nitrite,0.012038897554992465,0.05278578248074215
73.20120700_S2X.40,Bacteria,Verrucomicrobia,bog,extradeep,Nitrite reducers,Nitrite,0.011947628374161948,0.05261419585178025
73.20120800_E2X.75,Bacteria,Gemmatimonadetes,fen,extradeep,Nitrite reducers,Nitrite,0.018002885358139164,0.07540380787762989
73.20120800_E3X.67,Bacteria,Gemmatimonadetes,fen,extradeep,Nitrite reducers,Nitrite,0.01638881018466142,0.06907370042694959
