genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20110800_P1M.3,Bacteria,Proteobacteria,palsa,mid,Nitrite oxidizer,Nitrite,0.0034986219760037036,0.0780354992285546
73.20111000_P1D.32,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite oxidizer,Nitrite,0.008764880154239504,0.18296491752617036
73.20111000_P1D.8,Bacteria,Acidobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.014893323880395201,0.10461618162057629
73.20111000_P2D.26,Bacteria,Actinobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.00679220524245992,0.14319334115545848
73.20111000_P3D.19,Bacteria,Acidobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.03552154255255166,0.1675947326722483
73.20111000_P3M.104,Bacteria,Actinobacteria,palsa,mid,Nitrite oxidizer,Nitrite,0.007859149901467938,0.16445658620683049
73.20111000_P3M.19,Bacteria,Acidobacteria,palsa,mid,Nitrite oxidizer,Nitrite,0.0036239068291490715,0.08114692852454283
73.20111000_P3M.21,Bacteria,WPS2,palsa,mid,Nitrite oxidizer,Nitrite,0.004015761570617896,0.08736306704159102
73.20120500_P26.10,Bacteria,Actinobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.009058581440034427,0.18787749202631054
73.20120500_P26.11,Bacteria,Acidobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.01585596889506531,0.11169901874503263
73.20120500_P26.6,Bacteria,AD3,palsa,series,Nitrite oxidizer,Nitrite,0.006711765458540799,0.14125553050500472
73.20120500_P27.1,Bacteria,Proteobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.003725965545092,0.0819442221895944
73.20120500_P27.13,Bacteria,Actinobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.0031073580842046248,0.0702936592259484
73.20120500_P28.26,Bacteria,Actinobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.005680040224484197,0.1210663333972067
73.20120500_P28.34,Bacteria,Proteobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.004478374965615186,0.09756106227638091
73.20120500_P28.39,Bacteria,Chloroflexi,palsa,series,Nitrite oxidizer,Nitrite,0.003403919192566542,0.07574665773078805
73.20120500_P28.8,Bacteria,Proteobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.026004995981892175,0.17979837926116105
73.20120500_P28.9,Bacteria,Acidobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.013537296273898429,0.09618953244856156
73.20120500_P38.14,Bacteria,Acidobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.003767932079256032,0.08315759990268537
73.20120500_P39.11,Bacteria,Acidobacteria,palsa,series,Nitrite oxidizer,Nitrite,0.020415524199297447,0.14192917638827063
73.20120700_P2D.31,Bacteria,Proteobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.006683712910981748,0.14238348963675615
73.20120700_P3D.181,Bacteria,Actinobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.00300654532693076,0.06802511076672124
73.20120700_P3D.216,Bacteria,Actinobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.006416595016435314,0.13466661613798672
73.20120700_P3D.240,Bacteria,Proteobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.005499307058084562,0.11667319390710158
73.20120700_P3D.282,Bacteria,Proteobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.005516261662703692,0.11681250988243123
73.20120700_P3D.45,Bacteria,AD3,palsa,deep,Nitrite oxidizer,Nitrite,0.00903493741974865,0.18788196453747755
73.20120700_P3D.53,Bacteria,Cyanobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.033386860147745875,0.14636227774333885
73.20120700_P3D.68,Bacteria,AD3,palsa,deep,Nitrite oxidizer,Nitrite,0.012141292811529444,0.2515765618452551
73.20120700_P3D.97,Bacteria,Acidobacteria,palsa,deep,Nitrite oxidizer,Nitrite,0.003803131763420231,0.0844016583639739
73.20120700_S1D.208,Bacteria,Proteobacteria,bog,deep,Nitrite oxidizer,Nitrite,0.0032355736601604795,0.07270514532854697
73.20120800_E1X.33,Bacteria,Actinobacteria,fen,extradeep,Nitrite oxidizer,Nitrite,0.009632464141422508,0.1996055792718608
73.20120800_E1X.35,Bacteria,Proteobacteria,fen,extradeep,Nitrite oxidizer,Nitrite,0.0039438426754767174,0.08606445884145775
73.20120800_E3S.44,Bacteria,Bacteroidetes,fen,surface,Nitrite oxidizer,Nitrite,0.006117568769182585,0.13158917690164484
