genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20110700_P2D.36,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reductase,Nitrite,0.12229835653739335,0.3246817941243876
73.20110800_E3D.52,Bacteria,Verrucomicrobia,fen,deep,Nitrite reductase,Nitrite,0.11844689618874786,0.2912090477019794
73.20110800_P1D.22,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reductase,Nitrite,0.15741179905456307,0.39253818582291145
73.20110800_P1D.67,Bacteria,Chloroflexi,palsa,deep,Nitrite reductase,Nitrite,0.11996140774192224,0.3190697492753995
73.20110800_P1M.33,Bacteria,Chloroflexi,palsa,mid,Nitrite reductase,Nitrite,0.1518515561192398,0.38146359549176234
73.20111000_P1D.32,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reductase,Nitrite,0.20684058305664862,0.49079647998436704
73.20111000_P2D.1,Bacteria,Acidobacteria,palsa,deep,Nitrite reductase,Nitrite,0.10893935020490526,0.30119688307252546
73.20111000_P3D.19,Bacteria,Acidobacteria,palsa,deep,Nitrite reductase,Nitrite,0.20787563741812945,0.4552243876784198
73.20111000_P3D.38,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reductase,Nitrite,0.08048647551905647,0.24376589522282008
73.20111000_P3D.5,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reductase,Nitrite,0.08968668397808989,0.26348031258499166
73.20111000_P3M.48,Bacteria,Proteobacteria,palsa,mid,Nitrite reductase,Nitrite,0.16638816549812074,0.408901535150766
73.20111000_P3M.58,Bacteria,Nitrospirae,palsa,mid,Nitrite reductase,Nitrite,0.10488095607879849,0.2928932881583219
73.20111000_P3M.98,Bacteria,Proteobacteria,palsa,mid,Nitrite reductase,Nitrite,0.12158395384084789,0.32605272163619264
73.20120500_P26.11,Bacteria,Acidobacteria,palsa,series,Nitrite reductase,Nitrite,0.12943275639155344,0.3258617603435656
73.20120500_P28.26,Bacteria,Actinobacteria,palsa,series,Nitrite reductase,Nitrite,0.13349303651199246,0.34754106899423276
73.20120500_P28.43,Bacteria,Proteobacteria,palsa,series,Nitrite reductase,Nitrite,0.12926652481733608,0.33872904707868734
73.20120500_P28.8,Bacteria,Proteobacteria,palsa,series,Nitrite reductase,Nitrite,0.2158196171832625,0.48346798052103873
73.20120500_P37.7,Bacteria,Gemmatimonadetes,palsa,series,Nitrite reductase,Nitrite,0.201232861554321,0.4779978921894625
73.20120500_P39.29,Bacteria,Actinobacteria,palsa,series,Nitrite reductase,Nitrite,0.1559233097935718,0.39363830121108084
73.20120700_E3M.187,Bacteria,Proteobacteria,fen,mid,Nitrite reductase,Nitrite,0.08856298250701569,0.26340563329834676
73.20120700_P2D.11,Bacteria,Acidobacteria,palsa,deep,Nitrite reductase,Nitrite,0.0934172366309414,0.2729194867946678
73.20120700_P2D.7,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reductase,Nitrite,0.10750149145566493,0.29782329206914965
73.20120700_P3D.107,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reductase,Nitrite,0.06355414130920235,0.21374659586174707
73.20120700_P3D.123,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reductase,Nitrite,0.09884463584420071,0.25982383911061846
73.20120700_P3D.140,Bacteria,Nitrospirae,palsa,deep,Nitrite reductase,Nitrite,0.100870266539497,0.285414172045949
73.20120700_P3D.239,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.09856867146176869,0.28173059052673316
73.20120700_P3D.240,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.1292635333856714,0.337373776607047
73.20120700_P3D.248,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.1596537890095696,0.38259793811591974
73.20120700_P3D.283,Bacteria,Bacteroidetes,palsa,deep,Nitrite reductase,Nitrite,0.08432498679518069,0.25354916263848615
73.20120700_P3D.296,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.09212910396323247,0.2693848813261285
73.20120700_P3D.298,Bacteria,Gemmatimonadetes,palsa,deep,Nitrite reductase,Nitrite,0.12306162747087077,0.3301391296437945
73.20120700_P3D.316,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.17127416283305266,0.41956615160947214
73.20120700_P3D.35,Bacteria,Verrucomicrobia,palsa,deep,Nitrite reductase,Nitrite,0.20425405749311917,0.4854734542071574
73.20120700_P3D.7,Bacteria,Proteobacteria,palsa,deep,Nitrite reductase,Nitrite,0.15100795472197467,0.3789759692200889
73.20120700_P3D.75,Bacteria,Actinobacteria,palsa,deep,Nitrite reductase,Nitrite,0.2650060325378592,0.5791776228301675
73.20120700_S1D.105,Bacteria,Proteobacteria,bog,deep,Nitrite reductase,Nitrite,0.13491355192422017,0.3341430803193427
73.20120700_S1D.96,Bacteria,Proteobacteria,bog,deep,Nitrite reductase,Nitrite,0.09128060615154711,0.265206817762472
73.20120700_S2X.40,Bacteria,Verrucomicrobia,bog,extradeep,Nitrite reductase,Nitrite,0.09057606273747928,0.2645518554611393
73.20120800_E2X.75,Bacteria,Gemmatimonadetes,fen,extradeep,Nitrite reductase,Nitrite,0.13661352645680855,0.3515419480413951
73.20120800_E3X.67,Bacteria,Gemmatimonadetes,fen,extradeep,Nitrite reductase,Nitrite,0.124343578454608,0.3273793325237176
